"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"ONEIDA FAMILY YMCA - SACC PROGRAM","701 SENECA STREET,  ONEIDA","10/22/2024","No violations found.","0","0","0","Institutional Food Service - Day Care Center Food Service","Madison County","MADISON","701 SENECA STREET","ONEIDA","13421","260100","ONEIDA","ONEIDA FAMILY YMCA - SACC PROGRAM","08/31/2025",,"YMCA  OF THE GREATER TRI-VALLEY","LEO","HENRY","443843","Inspection","Satisfactory inspection","NY","(43.0752, -75.6514)"
"THEA BOWMAN HOUSE CHILD CARE","309 GENESEE STREET,  UTICA","06/30/2025","Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","1","Institutional Food Service - Day Care Center Food Service","Oneida County","ONEIDA","309 GENESEE STREET","UTICA","13501","320203","UTICA","THEA BOWMAN HOUSE CHILD CARE","12/31/2025",,"THEA BOWMAN HOUSE, INC.","DOMINGUE","JANE","290834","Inspection",,"NY","(43.097141, -75.23984)"
"APPLEBEE'S NEIGHBORHOOD BAR & GRILL","1794 BLACK RIVER BOULEVARD,  ROME","03/17/2025","Item 11D-   Non food contact surfaces of equipment not clean;","0","0","1","Food Service Establishment - Food Service Establishment","Oneida County","ONEIDA","1794 BLACK RIVER BOULEVARD","ROME","13440","320111","ROME","APPLEBEE'S NEIGHBORHOOD BAR & GRILL","12/31/2025",,"TLC CENTRAL, LLC","BRANT","CLYDE","292318","Inspection",,"NY","(43.233372, -75.43737)"
"PEKING GARDEN","56 MAIN STREET,  BREWSTER","05/21/2025","Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 14A-   Insects, rodents present;","0","0","3","Food Service Establishment - Restaurant","Putnam County","PUTNAM","56 MAIN STREET","BREWSTER","10509","395500","SOUTHEAST","PEKING GARDEN","03/31/2026",,"PEKING GARDEN MAIN STREET, INC","LI","YUN MEI","299603","Inspection",,"NY","(41.394455, -73.618259)"
"MAROUN ELEMENTARY INTERMEDIATE","11 ELM STREET,  PHOENIX","04/04/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Oswego County","OSWEGO","11 ELM STREET","PHOENIX","13135","372900","SCHROEPPEL","MAROUN ELEMENTARY INTERMEDIATE","02/28/2026","EJ DILLON MIDDLE SCHOOL","PHOENIX CENTRAL SCHOOL DISTRICT","BYRNE","CHRISTOPHER","296943","Inspection",,"NY","(43.234336, -76.294669)"
"MR. SUBB EGB","3 TROY ROAD,  EAST GREENBUSH","07/08/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Rensselaer County","RENSSELAER","3 TROY ROAD","EAST GREENBUSH","12061","415200","E. GREENBUSH","MR. SUBB","02/28/2026",,"MR SUBB INC","POMPA","WILLIAM","301395","Inspection","No violations present at time of inspection","NY","(42.599658, -73.709238)"
"GENE'S FISH FRY","300 TROY ROAD,  RENSSELAER","08/12/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Rensselaer County","RENSSELAER","300 TROY ROAD","RENSSELAER","12144","415200","E. GREENBUSH","GENE'S FISH FRY","02/28/2026",,,"HALSEY","MARK","301378","Inspection",,"NY","(42.644343, -73.698219)"
"DAMIEN CENTER-TROY UNITED MINISTRIES","392  SECOND STREET,  TROY","06/24/2025","No violations found.","0","0","0","Institutional Food Service - Nutrition for the Indigent","Rensselaer County","RENSSELAER","392  SECOND STREET","TROY","12180","410202","TROY","DAMIEN CENTER-TROY AREA UNITED MINISTRIES","12/31/2025",,"TROY AREA UNITED MINISTRIES","ELIA","DONNA","539253","Inspection","kitchen has had a new 3-bay sink, hand sink, and food prep sink installed since last inspection.","NY","(42.716358, -73.694735)"
"BETHESDA HOUSE OF SCHENECTADY, INC.","834 STATE STREET,  SCHENECTADY","03/13/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions;","0","0","2","Food Service Establishment - Food Service Establishment","Schenectady County","SCHENECTADY","834 STATE STREET","SCHENECTADY","12307","460100","SCHENECTADY","BETHESDA HOUSE OF SCHENECTADY","12/31/2025",,"BETHESDA HOUSE OF SCHENECTADY, INC.","SHEPPARD","KIMARIE","306706","Inspection",,"NY","(42.806304, -73.933414)"
"Middleburgh Lns & Cater","108 CHESTNUT  LANE,  MIDDLEBURGH","04/14/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Schoharie County","SCHOHARIE","108 CHESTNUT  LANE","MIDDLEBURGH","12122","472200","MIDDLEBURG","MIDDLEBURGH LANES and Catering","12/31/2025",,,"SHULTES","RICHARD & PAT","307283","Inspection",,"NY","(42.597997, -74.332885)"
"KFC","48 SOUTH ROUTE 9W,  WEST HAVERSTRAW","07/31/2025","Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","4","Food Service Establishment - Food Service Establishment","Rockland County","ROCKLAND","48 SOUTH ROUTE 9W","WEST HAVERSTRAW","10993","435100","HAVERSTRAW","KFC","04/30/2026","KFC/PIZZA HUT EXPRESS","C & B RESTAURANT CORP.","CAVEGN","JOSEPH","428217","Inspection","Violations discussed with N.I.|Please be aware that any violation of the NYS Sanitary Code subpart 14-1 may be subject to a civil penalty of up to $2,000 per day.","NY","(41.204268, -73.98402)"
"SKOI-YASE SCHOOL","65 FAYETTE STREET,  WATERLOO","04/07/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Seneca  County","SENECA","65 FAYETTE STREET","WATERLOO","13165","492101","WATERLOO","SKOI-YASE SCHOOL","02/28/2026",,,"CENTRAL SCHOOLS","WATERLOO","308408","Inspection",,"NY","(42.896163, -76.863439)"
"V.F.W. POST 6433","29 WEST ELISHA STREET,  WATERLOO","03/28/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Seneca  County","SENECA","29 WEST ELISHA STREET","WATERLOO","13165","492101","WATERLOO","V.F.W. POST 6433","04/30/2026",,,"POST 6433","V.F.W.","308404","Inspection",,"NY","(42.906601, -76.86627)"
"COCOA","2107A BOSTON POST ROAD,  LARCHMONT","04/08/2025","No violations found.","0","0","0","Food Service Establishment - Bakery","Westchester County","WESTCHESTER","2107A BOSTON POST ROAD","LARCHMONT","10538","592900","MAMARONECK","COCOA","09/30/2025","COCOA","ANGELA INGRAO, INC.","INGRAO","ANGELA","448959","Inspection","ALL MEASURED HOT AND COLD TEMPERATURES ADEQUATE AT THIS TIME. PEST CONTROL IS PROVIDER BY BUILDING OWNER, RECORDS ARE NOT KEPT ONSITE.","NY","(40.928236, -73.751502)"
"AMACKASSIN CLUB - BAR","557 PALISADE AVENUE,  YONKERS","07/11/2025","Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures;","0","0","1","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","557 PALISADE AVENUE","YONKERS","10703","590707","YONKERS","AMACKASSIN CLUB - BAR","06/30/2026","AMACKASSIN SNACK BAR","AMACKASSIN CLUB INC.","BELLO","RAYMOND","436709","Inspection",,"NY","(40.952873, -73.888633)"
"HOLY TRINITY GREEK ORTHODOX CHURCH","10 MILL ROAD,  NEW ROCHELLE","02/23/2024","Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","2","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","10 MILL ROAD","NEW ROCHELLE","10804","590400","NEW ROCHELLE","HOLY TRINITY GREEK ORTHODOX CHURCH","05/31/2026","HOLY TRNTY GRK ORTH CHRCH","HELLENIC ORTHODOX COMMUNITY","KONDOS","GEORGE","443052","Inspection","All cold holding temperatures are adequate at this time.|Discussed|-New Allergen Law: The Westchester County Board of Legislators has enacted a “Food Allergy Restaurant Safety” Law that became effective November 9, 2022. The new law requires you to post signs in English and Spanish, (both in the front of your establishment so the sign is visible to customers and in the back of your establishment, so it is visible to food handlers) which provide food allergen information to patrons and staff. In addition, you are required to designate staff who will be trained in an approved Allergen Training Program. If you provide seating for your customers, you must always have at least one trained person in the kitchen and one trained person in the dining room during hours of operation. If you are take out only, you must have a least one trained person in the kitchen during hours of operation. The number of trained staff must also be entered in the space proved on the posted signs. The Westchester County Health Department has designated the ServSafe Food Allergen class as an acceptable course. Follow this link to access the course: https://www.servsafe.com/ServSafe-Allergens If you wish to take another course, please contact us prior to registering to verify it is approved. The required signs are available on our website for printing. If you wish to pick up pre-printed signs in both English and Spanish, you can come to our office at 25 Moore Avenue, 2nd Floor, Mount Kisco, NY 10549 any Monday through Friday between the hours of 9:00 am and 4:00 pm. If you have questions regarding this code, please feel free to contact your inspector directly, or you can call our office at (914) 864-7330.|-New guidelines for Reduce Single-Use Waste law|-Operator states that Church plans to renovate kitchen in January 2025 -- instructed operator to submit plans to WCDOH for approval prior to making any changes to facility.|All violations cited to checked for compliance during next routine inspe","NY","(40.954494, -73.797163)"
"LA PINATA BAKERY","118 NEW MAIN STREET,  YONKERS","08/25/2025","Item 11D-   Non food contact surfaces of equipment not clean; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","4","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","118 NEW MAIN STREET","YONKERS","10701","590707","YONKERS","LA PINATA BAKERY","10/31/2025",,"LA PINATA, LTD.","ZUNIGA","CECILIA","512817","Inspection",,"NY","(40.933082, -73.896973)"
"AVENUE DELI & CAFE","704 NORTH AVENUE,  NEW ROCHELLE","09/06/2024","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 14A-   Insects, rodents present; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;","0","0","5","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","704 NORTH AVENUE","NEW ROCHELLE","10801","590400","NEW ROCHELLE","AVENUE DELI & CAFE","08/31/2026","AVENUE DELI & CAFE","NAPOLITANO BROS. INC.","NAPOLITANO","JOSEPH","447265","Inspection","Measured temperatures are adequate at time of inspection. Deficiencies noted with operator.","NY","(40.92533, -73.78528)"
"ANGLEBROOK DINING CLUB","100 ROUTE 202,  LINCOLNDALE","05/06/2025","Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","1","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","100 ROUTE 202","LINCOLNDALE","10540","596600","SOMERS","ANGLEBROOK DINING CLUB","11/30/2025","ANGLEBROOK DINING CLUB","ANGLEBROOK DINING CLUB, INC.","SULLIVAN","MATTHEW","456415","Inspection","All measured hot and cold holding temperatures adequate. Observed  staff food handling procedures adequate. Extermination regular and adequate. Violations to be corrected by next routine inspection.","NY","(41.323878, -73.702274)"
"ERIC'S OFFICE RESTAURANT","2574 MACEDON  ROAD,  CANANDAIGUA","03/18/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Geneva District Office","ONTARIO","2574 MACEDON  ROAD","CANANDAIGUA","14424","345200","CANANDAIGUA","ERIC'S OFFICE RESTAURANT","03/31/2027",,"BRECK INC","ZIMMERMAN","ERIC","326041","Inspection","All temperatures adequate at time of inspection.","NY","(42.905878, -77.293117)"
"HOT DOG HUT CAFE","4 EAST MAIN STREET,  JOHNSTOWN","06/18/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Herkimer District Office","FULTON","4 EAST MAIN STREET","JOHNSTOWN","12095","170200","JOHNSTOWN","HOT DOG HUT CAFE","10/31/2025",,,"RICHARD","TODD","340653","Inspection","No violations observed.  Noted proper hot/cold holding temps, glove usage","NY","(43.006395, -74.371064)"
"ILION ELKS LODGE #1444","8 WEST STREET,  ILION","08/26/2025","Item  1F-  Critical Violation [RED] Shellfish not from approved sources, improperly tagged/labeled, tags not  retained 90 days.;","1","0","0","Food Service Establishment - Food Service Establishment","Herkimer District Office","HERKIMER","8 WEST STREET","ILION","13357","210100","GERMAN FLATS","ILION ELKS LODGE #1444","11/30/2025",,"ILION ELKS LODGE #1444","MALEY","LEE","341711","Inspection","Noted proper cold holding temps, product therm, gloves, sanitizer","NY","(43.016171, -75.038544)"
"LANTERNS, THE","275 RASBACH ROAD,  CLAYVILLE","07/17/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Herkimer District Office","HERKIMER","275 RASBACH ROAD","CLAYVILLE","13322","215600","LITCHFIELD","THE LANTERNS","07/31/2027","THE LANTERNS","THE LANTERNS OF RASBACH ROAD, INC.","RASBACH","HAROLD","338712","Inspection","Primarily tavern business. - Refrigeration <45F, sanitizer and probe therm available. Clam origination tags being retained for review.","NY","(42.978896, -75.19196)"
"PIONEER PATIO RESTAURANT","46 PIONEER STREET,  COOPERSTOWN","04/24/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item  8F-   Improper thawing procedures used; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","10","Food Service Establishment - Restaurant","Oneonta District Office","OTSEGO","46 PIONEER STREET","COOPERSTOWN","13326","382401","OTSEGO","PIONEER PATIO RESTAURANT","12/31/2025",,"PIONEER PATIO RESTAURANT, INC.","Busse","Richard","354089","Inspection","1. All violations must be corrected and are subject to enforcement action.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions or to provide correction updates.|3. Education regarding the Department’s Food Allergen Law was provided.  The operator was advised that they must post a notice to their employees raising food allergy awareness.  The notice must contain information on 1) the process to follow when a customer notifies an employee of a food allergy, 2) how to avoid cross-contact, and 3) the procedures to be followed in the event a customer experiences an allergic reaction, including when to call 9-1-1. The notice must be posted in a conspicuous location, and in at least one of the languages spoken by each employee, provided those languages are among those translated by the Department. The law also requires that food service establishments include the following statement on their menu or menu assembly: “If you have a food allergy, please notify us,” along with a message informing customers that allergen information is available for prepared food items. If the menu is written in a language other than English and is one that the Department makes a translation for, the menu statement must be written in that language. Please be advised that online menus must also include this statement, and a method by which a customer can indicate if they have a food allergy.  In response to this law, the Department created a Food Allergy Awareness notice containing information for food service establishment employees on food allergies. This notice, and the required menu statement, are available on the Department’s website in English as well as the top six languages spoken in the State; https://www.health.ny.gov/environmental/indoors/food_safety/guidance.htm","NY","(42.699983, -74.924534)"
"KOREANA RESTAURANT","26216 ROUTE 283,  WATERTOWN","03/07/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);","0","0","2","Food Service Establishment - Restaurant","Watertown District Office","JEFFERSON","26216 ROUTE 283","WATERTOWN","13601","226000","LE RAY","KOREANA RESTAURANT","12/31/2026",,,"Hicks","Suk","535669","Inspection","vegetable water @ 37F in refrigerator unit|on-site waste water system appears to be functioning properly. |Hood vents clean","NY","(44.005704, -75.848653)"
"BAKER'S GRILL","7561 SOUTH STATE STREET,  LOWVILLE","09/29/2023","No violations found.","0","0","0","Food Service Establishment - Restaurant","Watertown District Office","LEWIS","7561 SOUTH STATE STREET","LOWVILLE","13367","242400","LOWVILLE","BAKER'S GRILL","12/31/2024",,,"Garito","Richard","363136","Inspection","No violations observed.  Facility is clean and maintained. Bathrooms clean.  No food prep at time of inspection.  Conditions of smoking waiver are being met.  Appropriate signs are posted in the smoking room and at the bar.","NY","(43.786076, -75.491887)"
"DUNKIN DONUTS - PARISH","2877 MAIN STREET,  PARISH","04/03/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked);","0","0","1","Food Service Establishment - Restaurant","Oswego County","OSWEGO","2877 MAIN STREET","PARISH","13131","372500","PARISH","DUNKIN DONUTS-PARISH","02/28/2026",,"OSWEGO FOODSERVICE GROUP LLC","TREPASSO","DARLENE","555191","Inspection",,"NY","(43.404825, -76.119376)"
"PORT WASHINGTON YACHT CLUB","1 YACHT CLUB DRIVE,  PORT WASHINGTON","11/08/2023","No violations found.","0","0","0","Food Service Establishment - Restaurant","Nassau  County","NASSAU","1 YACHT CLUB DRIVE","PORT WASHINGTON","110503429","295111","N. HEMPSTEAD","PT WASHINGTON YACHT CLUB","07/31/2025","PT WASHINGTON YACHT CLUB","PORT WASHINGTON YACHT CLUB",,,"577919","Re-Inspection","Shellfish tag protocol implemented; shellfish tags on site","NY","(40.822655, -73.702023)"
"SIENA'S PIZZA OF MONTICELLO- LLC","321 EAST BROADWAY, SUITE 18,  Monticello","02/26/2025","Item  3B-  Critical Violation [RED] Food workers do not wash hands thoroughly after visiting the toilet, coughing, sneezing, smoking or otherwise contaminating their hands.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions;","1","0","2","Food Service Establishment - Food Service Establishment","Middletown District Office","SULLIVAN","321 EAST BROADWAY, SUITE 18","Monticello","12701","522200","THOMPSON","SIENA'S PIZZA OF MONTICELLO- LLC","02/28/2026",,"Siena's Pizza of Monticello- LLC","Colotla","Pascual","599670","Inspection",,"NY","(41.652178, -74.676304)"
"MAHOPAC VOLUNTEER FIRE DEPARTMENT","741 ROUTE 6,  MAHOPAC","11/04/2024","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Putnam County","PUTNAM","741 ROUTE 6","MAHOPAC","10541","395000","CARMEL","MAHOPAC VOLUNTEER FIRE DEPARTMENT","03/31/2026",,"MAHOPAC VOLUNTEER  FIRE DEPARTMENT","RAY HAMILL","LOUIS SCAGNELLI","582214","Inspection",,"NY","(41.376611, -73.726507)"
"JAZZMAN'S BU EDUC. & COMM. DEV. CTR","67 WASHINGTON STREET,  BINGHAMTON","10/08/2024","Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 11D-   Non food contact surfaces of equipment not clean;","0","0","2","Institutional Food Service - College Food Service","Broome County","BROOME","67 WASHINGTON STREET","BINGHAMTON","13901","030100","BINGHAMTON","JAZZMAN'S BU EDUC. & COMM. DEV. CTR","08/31/2026",,"SODEXO MANAGEMENT INC.",,"SODEXO","585468","Inspection",,"NY","(42.095786, -75.914241)"
"BOYZ FROM ITALY","262 W. DOMINICK STREET,  ROME","10/10/2024","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Oneida County","ONEIDA","262 W. DOMINICK STREET","ROME","13440","320111","ROME","BOYZ FROM ITALY","12/31/2025",,,"MURATORE","CAROL","582344","Inspection",,"NY","(43.2126, -75.461209)"
